ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
SPY,5/7/21,419.89,422.815,419.16,422.12,67665550,0,1,419.89,422.815,419.16,422.12,67665550
SPY,5/10/21,422.5,422.74,417.81,417.94,81590940,0,1,422.5,422.74,417.81,417.94,81590940
SPY,5/11/21,413.1,415.27,410.06,414.21,116730491,0,1,413.1,415.27,410.06,414.21,116730491
SPY,5/12/21,411.23,412.59,404,405.41,134501239,0,1,411.23,412.59,404,405.41,134501239
SPY,5/13/21,407.07,412.35,407.02,410.28,106176483,0,1,407.07,412.35,407.02,410.28,106176483
SPY,5/14/21,413.21,417.49,413.18,416.58,82116172,0,1,413.21,417.49,413.18,416.58,82116172
SPY,5/17/21,415.39,416.39,413.36,415.52,64894713,0,1,415.39,416.39,413.36,415.52,64894713
SPY,5/18/21,415.8,416.06,411.77,411.94,59156797,0,1,415.8,416.06,411.77,411.94,59156797
SPY,5/19/21,406.92,411.05,405.33,410.86,106322020,0,1,406.92,411.05,405.33,410.86,106322020
SPY,5/20/21,411.8,416.625,411.67,415.28,77701442,0,1,411.8,416.625,411.67,415.28,77701442
SPY,5/21/21,416.87,418.2,414.45,414.94,76503496,0,1,416.87,418.2,414.45,414.94,76503496
SPY,5/24/21,417.34,420.32,417.08,419.17,51244581,0,1,417.34,420.32,417.08,419.17,51244581
SPY,5/25/21,420.33,420.71,417.62,418.24,57317554,0,1,420.33,420.71,417.62,418.24,57317554
SPY,5/26/21,418.87,419.61,417.76,419.07,42961526,0,1,418.87,419.61,417.76,419.07,42961526
