,ticker,sector,industry,QQQ3m_b,QQQ3m_rsq,SPY3m_b,SPY3m_rsq,DIA3m_b,DIA3m_rsq,IWM3m_b,IWM3m_rsq,QQQ1y_b,QQQ1y_rsq,SPY1y_b,SPY1y_rsq,DIA1y_b,DIA1y_rsq,IWM1y_b,IWM1y_rsq,totalInv,absInv
0,ADS,Services,Services-Business Services Nec,5412.841149487648,0.0444079746837358,19231.572028729297,0.2102424444866742,25719.9581125899,0.2862913192344637,14461.690690000305,0.3923967052457319,4635.594827334414,0.0196306646805334,21298.961999576866,0.2197613121823157,26716.015520764875,0.3570349544522978,19661.39587135996,0.4179713750520226,11771.0,11771.0
1,AMZN,Retail Trade,Retail-Catalog & Mail-Order Houses,8381.751298378962,0.7069917956569045,10815.234570003686,0.4414658793605007,5425.535251411111,0.0845838162243695,4158.379064753817,0.2154119524975916,10764.023414757654,0.694990589451741,10745.97246149348,0.367308856024244,6153.403835995565,0.1243666078767889,2955.655666279337,0.0620199069686377,9609.24,9609.24
2,APO,Finance Insurance And Real Estate,Investment Advice,20769.081936661365,0.1064032914401773,35906.60511059911,0.1192750417508725,32684.82366723816,0.0752436784733449,22836.503968089946,0.1592415928248033,32950.73979352915,0.1704099203936102,61815.432649274735,0.3180304160747824,60542.16011370141,0.3150095031457663,40307.62478403336,0.3018093763218876,51687.0,51687.0
3,AY,Transportation Communications Electric Gas And Sanitary Service,Electric Services,7877.659604433603,0.3425919667545427,10651.737664471653,0.2349114039164268,5442.960864934036,0.046699307456804,5969.440781900463,0.24351564172201,4594.498016469244,0.1553975897913502,6473.065902290133,0.1635680573215134,4789.303004408916,0.0924604637505778,4719.868399527545,0.1940982860903737,7386.0,7386.0
4,BA,Manufacturing,Aircraft,38100.24565684217,0.1146770469010741,88683.24197845529,0.2330153302240616,121382.01012070155,0.3323432501375931,61225.01019203068,0.3665687965182415,51596.58353171231,0.0940745548707209,136200.46096304807,0.3476143784343621,166178.48472324698,0.5343467428254185,106002.64116785175,0.4699562528910544,70446.0,70446.0
5,COF,Finance Insurance And Real Estate,National Commercial Banks,2111.4491936387044,0.0217740938788114,10429.422555285368,0.1992414849167616,15067.749392513391,0.3166160011911175,7311.161687865459,0.3231680435932996,3161.970153834015,0.0192412684584817,15710.462480151926,0.251887376318713,20150.548225721042,0.4278930137147581,13896.030964174519,0.4398387538433455,12724.0,12724.0
6,COMM,Manufacturing,Radio & Tv Broadcasting & Communications Equipment,11409.210458847869,0.1813177809281884,26448.5184944995,0.3654368477610655,31540.647216361103,0.3956650387809053,17019.12904789816,0.499436970681074,10467.094030282738,0.1038330272020769,22572.766228999088,0.2560726105571141,22797.4432820321,0.269711117898645,16787.39332318845,0.3161138875041409,14904.0,14904.0
7,CS,International Securities,Security Brokers Dealers & Flotation Companies,10054.849026071253,0.0753383029341409,20398.589876323997,0.1162908221408083,16033.840869600419,0.0547012343403878,13338.559106697203,0.1641191929759829,9852.858450461174,0.0841433135747865,25050.07180046781,0.2884186700873594,28064.15768262755,0.3738027084219497,19112.58800503947,0.3747381417882771,22545.0,22545.0
8,DISCA,Transportation Communications Electric Gas And Sanitary Service,Cable & Other Pay Television Services,-682.7307375309829,0.0037514376364151,-773.8486005705126,0.001807553854994,989.0617933157562,0.0022480343042128,1180.1288472165431,0.0138750477008815,-68.17253509712405,8.08428625077573e-05,1712.8425668250206,0.0270625044791558,2714.12034301045,0.0701656077847235,2236.4086994679687,0.1029719458264256,3147.0,3147.0
9,EL,Manufacturing,Perfumes Cosmetics & Other Toilet Preparations,14023.03337221223,0.1505093993598394,24778.509297901117,0.1762424254716424,22056.2159600573,0.1063160815391346,10981.68754412502,0.1142601173045462,15757.772903473951,0.1979316164399739,28327.872752148684,0.339206151274901,26546.944356069987,0.3076081746795405,14676.85536368343,0.2032288243954286,29675.0,29675.0
10,EWG,Germany,Sector Index,5519.463400439534,0.3252505079319414,10631.953504311461,0.4526169650515458,10872.310592868738,0.360350585450315,5056.494834410625,0.3379093555291326,7101.589842339315,0.313235511877578,13069.0737415266,0.562548193980946,13008.349649076183,0.5755029066954728,7856.940979757757,0.453795914998275,14228.0,14228.0
11,EWT,Taiwan,Sector Index,11150.547598153642,0.3765821328133434,18560.438047199055,0.3913129186915316,16477.6682035317,0.2348097301245033,8545.983377471452,0.2738219248211644,7330.611733867612,0.2976526097683294,10904.613360309042,0.3492690469518686,9641.488430095911,0.2819426159398635,6378.339062254072,0.266709350887461,14795.0,14795.0
12,HUBS,Services,Services-Prepackaged Software,16712.68045440121,0.4753797260410597,19507.643957892906,0.2429061446616022,5704.654872594753,0.0158148271721949,12693.830719829435,0.3394772334532187,11675.81803043045,0.289749684891634,11165.135591991002,0.1405033361883327,5151.254551669164,0.0308828701905726,6276.4804450542015,0.0991001874798881,10094.199999999999,10094.199999999999
13,HUM,Finance Insurance And Real Estate,Hospital & Medical Service Plans,-5076.169332498495,0.0148679469001293,8197.371627969069,0.0145414753383023,27904.4612322729,0.1282872058457709,-1756.4253723819609,0.0022035099505267,13067.596949984665,0.0580613219001104,29974.861644236527,0.1620019076323297,33152.65232206421,0.204632831013642,14150.779566041543,0.0805842129162047,48614.0,48614.0
14,IJS,Market Beta,Value Vector,12438.850486621897,0.0744074341998197,44083.74075040527,0.3505041271983536,61339.213334986984,0.5166417522930883,34988.365815716876,0.7287523416762149,21790.243020134385,0.0428384312497585,59860.4367230067,0.1714349911718002,67212.21620827237,0.2231768477370882,48941.935006706495,0.2557793397738138,41836.0,41836.0
15,JCI,Services,Services-Miscellaneous Business Services,918.0777975394842,0.0210102990624629,5393.164153425833,0.2719198841133226,9070.226656179155,0.5855538053051373,2740.2747899027745,0.231706548457005,1504.23175315574,0.043311202258539,5176.505108072428,0.271990869611077,6010.852581947473,0.3786920480490955,3940.626406474991,0.351799356684559,6450.0,6450.0
16,JETS,Transportation Communications Electric Gas And Sanitary Service,Sector Index,12908.07412110822,0.053645303102684,39615.272502767984,0.1895023154624008,55818.677484795764,0.2864343843104697,33979.303722341094,0.4601660408807226,16134.293725158841,0.035570239253608,61572.155955093134,0.27470457120519,78034.99894447482,0.4556265496050945,53171.64772799934,0.4572364931236273,44098.0,44098.0
17,PATK,Manufacturing,Millwood Veneer Plywood & Structural Wood Members,19337.37733992285,0.1103189436358094,53216.085282468775,0.3133438829979945,64714.784898249796,0.3527924139137404,37433.2957706666,0.5117382678270421,22064.03730727324,0.1146862226088067,44028.87469177855,0.2421735735907891,45818.6819206632,0.2708131584004841,38256.70070485353,0.4080844893980148,30656.5,30656.5
18,"PG,SPG",Finance Insurance And Real Estate,Real Estate Investment Trusts,23900.84020567048,0.0686660350612188,77087.11406182617,0.2678919303890335,109783.56832923558,0.4136638625931587,54672.830253432396,0.4447700757179929,25780.967455971724,0.0188769731935194,123036.49598220551,0.22798808077191124,157643.71712007222,0.3864831532505346,109541.4523965284,0.4033524570422027,73428.0,293712.0
19,PVH,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,1453.6802266642146,0.0180013018907255,6792.640870153268,0.1474089592617002,10268.048391657057,0.2564479465280299,5594.92373264678,0.3300891909715727,1012.6027939604899,0.0050818091277001,8292.402490224684,0.1807220521962427,11333.716345785826,0.3486005606778182,8274.153495890514,0.4015882821736711,5462.5,5462.5
20,QQQ,Market Beta,Nasdaq,-343360.5,1.0,-490959.25850135414,0.7667798055366424,-326274.9649811263,0.2578244507714026,-201622.90489820048,0.4268309295556071,-343360.4999999998,1.0,-403981.1774749933,0.7340605630964436,-287081.9403524061,0.3827845294965742,-172868.59911565366,0.3000028213482313,-343360.5,343360.5
21,REAL,Retail Trade,Retail-Miscellaneous Retail,13113.629513468068,0.3662711360103222,20765.8778541295,0.3444592798412987,15705.178495234144,0.1500029818858816,12024.227168985819,0.3811957355916602,8979.425165551762,0.2311060290944742,12881.751654847032,0.252216994213488,10333.989103648379,0.1676075199603555,9391.116455753976,0.2991868051251941,6020.0,6020.0
22,RING,Market Beta,Gold Miners,-5276.988133342401,0.1702058701273239,-8610.787265365963,0.169968500070503,-7679.681903753637,0.102930960557396,-3393.181605121937,0.0871150759262947,-6388.090348030535,0.1621508789777609,-7566.880155271727,0.1206483023801758,-5256.614200959994,0.0601219021253809,-3220.520256283911,0.0487778952834618,-9957.0,9957.0
23,SONO,Manufacturing,Household Audio & Video Equipment,77524.15426998155,0.471999301608202,126706.63116947422,0.4728750425469114,106430.13341069465,0.2540117216712398,80518.90643462619,0.6302891485830515,40846.55994947784,0.0963679198193209,50652.94145194007,0.0785852697453285,37212.65787965739,0.0437971840541375,39856.16526266074,0.1085941205294498,45487.0,45487.0
24,SPY,Market Beta,SP500,222.51579662332355,0.7667798055366425,414.9400000000001,1.0,402.2275346086124,0.7154014711973427,178.19238057736672,0.6087010401627964,258.8847075233155,0.7340605630964436,414.94,1.0,374.72927047232105,0.8421658566049591,219.72682272944218,0.6258626419764071,414.94,414.94
25,"VDE,XLE",Manufacturing,Sector Index,4998.3143318004495,0.00402733238554077,38508.40570045193,0.08852339585298967,56261.46343734372,0.14397343493230605,27966.399530972405,0.15410273720451184,17773.52017495261,0.027275857433047234,78298.94095444001,0.28064962923963377,97697.14093761929,0.45119657710789557,66862.85260335148,0.45676893464507035,61476.0,202308.0
26,VGK,Europe,Sector Index,5834.408000720771,0.4541629407600621,11167.623840770913,0.6240509930852707,10999.528691471554,0.4609178401303637,5465.559156975085,0.4933602008586544,6437.112477395031,0.3461062700739322,11959.56395361655,0.6335315667991195,11778.91439021844,0.634572282973858,7299.952483418465,0.526818621121399,13660.0,13660.0
27,WYNN,Services,Hotels & Motels,17687.28196699103,0.0800347147218883,37836.37127159581,0.1373585135940943,37912.77224056285,0.1049988517240486,34674.658214144976,0.3807653261280661,19881.451958436635,0.031853835790919,67916.91248277327,0.1971204611171487,81380.29782585437,0.29224520029951,54623.02449825683,0.2845842147056391,44576.0,44576.0
28,XHB,Construction,Sector Index,34966.64880020966,0.1817437768508235,96368.00362781745,0.517723255421033,123315.12746911927,0.6454186363367381,52704.49518650803,0.5111209169134707,42551.04810981727,0.2857247097007808,76177.40319837608,0.4856125484860155,73987.53390569006,0.4730289019477531,52379.41412461899,0.5124391807674911,68960.5,68960.5
29,XLB,Materials,Sector Index,5607.557441505127,0.1712579130061837,16075.641455998722,0.5278617959795828,20982.17569684291,0.6846387672262397,8708.173555715339,0.5112509757138826,7270.041124225676,0.1965220247248447,17052.47537721274,0.5733537451388186,18320.535250682387,0.6833718849427306,11619.687092662165,0.5941828879158846,17320.0,17320.0
30,XLF,Finance Insurance And Real Estate,Sector Index,9468.17419192027,0.0227709981384399,56888.31415400684,0.3083018566917188,91117.33032131143,0.6021557333615121,33082.47325660387,0.3441298473708639,25344.61703947433,0.0828246795714372,83295.25580911622,0.4743939336495066,99619.89854921185,0.700686555690821,62068.79922780016,0.5879342548510597,82676.0,82676.0
31,XLP,Consumer Staples,Sector Index,10228.852190835072,0.1062736562530819,29600.155501604604,0.3337645634050873,41465.887726645735,0.4986674424933828,8203.08451907664,0.0846063581456217,19032.405368635224,0.2761767413536161,36915.38022987057,0.5509659136949772,37207.52063440504,0.5779689426258059,17806.695352361694,0.2861278814181145,63918.0,63918.0
32,XLY,Consumer Discretionary,Sector Index,-86384.49503839281,0.7230498389904179,-141232.3698212834,0.7248456751133561,-120556.57420120703,0.4021015024163442,-72115.99349236244,0.6237874460281319,-81928.11346639827,0.6871813756931152,-121359.21066595182,0.7995787693013097,-104190.14419273056,0.6085580983920517,-68493.8004182494,0.5684624447466057,-117142.25000000001,117142.25000000001
